Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COMPASS HEIGHTS,"955,000","1,065.64",896,Jun-21,SENGKANG SQUARE,Resale,Strata,99,"9,646",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10
SUITES @ PAYA LEBAR,"595,000",409.03,"1,455",Jun-21,UPPER PAYA LEBAR ROAD,Resale,Strata,38,"15,658",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,584,800",936.47,"1,692",Jun-21,COMPASSVALE BOW,New Sale,Strata,87,"18,216",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
TERRASSE,"1,605,000","1,453.14","1,105",Jun-21,TERRASSE LANE,Resale,Strata,135,"11,889",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
LA FIESTA,"1,265,000",990.29,"1,277",Jun-21,SENGKANG SQUARE,Resale,Strata,92,"13,750",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
CASA CAMBIO,"1,610,000","1,399.32","1,151",Jun-21,LIM TUA TOW ROAD,Resale,Strata,130,"12,385",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,260,000","1,162.51","1,084",Jun-21,SENGKANG EAST AVENUE,Resale,Strata,108,"11,667",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
FLO RESIDENCE,"925,000",925.7,999,Jun-21,PUNGGOL FIELD WALK,Resale,Strata,86,"10,756",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,138,400",678.13,"1,679",Jun-21,COMPASSVALE BOW,New Sale,Strata,63,"18,070",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,203,000",667.37,"1,803",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,62,"19,403",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
SENGKANG GRAND RESIDENCES,"1,280,800",764.24,"1,676",Jun-21,COMPASSVALE BOW,New Sale,Strata,71,"18,039",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,065,000",624.31,"1,706",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,58,"18,362",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE FLORENCE RESIDENCES,"1,027,000",635.08,"1,617",Jun-21,HOUGANG AVENUE 2,New Sale,Strata,59,"17,407",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
LA FIESTA,"1,918,000","1,765.3","1,087",Jun-21,SENGKANG SQUARE,Resale,Strata,164,"11,695",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
