name,code,lines,opening_year,latitude,longitude
Admiralty,NS10,NS,1996,,
Aljunied,EW9,EW,1989,,
Ang Mo Kio,NS16,NS|CR,1987,,
Bartley,CC12,CC,2009,,
Bayfront,CE1,CC|DT,2012,,
Bayshore,TE29,TE,2024,,
Beauty World,DT5,DT,2015,,
Bedok,EW5,EW,1989,,
Bedok North,DT29,DT,2017,,
Bedok Reservoir,DT30,DT,2017,,
Bencoolen,DT21,DT,2017,,
Bendemeer,DT23,DT,2017,,
Bishan,NS17,NS|CC,1987,,
Boon Keng,NE9,NE,2003,,
Boon Lay,EW27,EW|JR,1990,,
Botanic Gardens,CC19,CC|DT,2011,,
Braddell,NS18,NS,1987,,
Bras Basah,CC2,CC,2010,,
Bright Hill,TE7,TE|CR,2021,,
Buangkok,NE15,NE,2006,,
Bugis,EW12,EW|DT,1989,,
Bukit Batok,NS2,NS|BL,1990,,
Bukit Gombak,NS3,NS|BL,1990,,
Bukit Panjang,BP6,DT,2015,,
Buona Vista,EW21,EW|CC,1988,,
Caldecott,CC17,CC|TE,2011,,
Canberra,NS12,NS,2019,,
Cashew,DT2,DT,2015,,
Changi Airport,CG2,EW|TE,2002,,
Chinatown,NE4,NE|DT,2003,,
Chinese Garden,EW25,EW,1988,,
Choa Chu Kang,NS4,NS|JR|BL,1990,,
City Hall,NS25,NS|EW,1987,,
Clarke Quay,NE5,NE,2003,,
Clementi,EW23,EW|CR,1988,,
Commonwealth,EW20,EW,1988,,
Dakota,CC8,CC,2010,,
Dhoby Ghaut,NS24,NS|NE|CC,1987,,
Dover,EW22,EW,2001,,
Downtown,DT17,DT,2013,,
Esplanade,CC3,CC,2010,,
Eunos,EW7,EW,1989,,
Expo,CG1,EW|DT|TE,2001,,
Farrer Park,NE8,NE,2003,,
Farrer Road,CC20,CC,2011,,
Fort Canning,DT20,DT,2017,,
Gardens by the Bay,TE22,TE,2022,,
Geylang Bahru,DT24,DT,2017,,
Great World,TE15,TE,2022,,
Gul Circle,EW30,EW|CR,2017,,
HarbourFront,NE1,NE|CC,2003,,
Havelock,TE16,TE,2022,,
Haw Par Villa,CC25,CC,2011,,
Hillview,DT3,DT,2015,,
Holland Village,CC21,CC,2011,,
Hougang,NE14,NE|CR,2003,,
Hume,DT4,DT,2025,,
Jalan Besar,DT22,DT,2017,,
Joo Koon,EW29,EW,2009,,
Jurong East,NS1,NS|EW|JR|BL,1988,,
Kaki Bukit,DT28,DT,2017,,
Kallang,EW10,EW,1989,,
Katong Park,TE24,TE,2024,,
Kembangan,EW6,EW,1989,,
Kent Ridge,CC24,CC|JR,2011,,
Khatib,NS14,NS,1988,,
King Albert Park,DT6,DT|CR,2015,,
Kovan,NE13,NE,2003,,
Kranji,NS7,NS,1996,,
Labrador Park,CC27,CC,2011,,
Lakeside,EW26,EW,1988,,
Lavender,EW11,EW,1989,,
Lentor,TE5,TE,2021,,
Little India,NE7,NE|DT,2003,,
Lorong Chuan,CC14,CC,2009,,
MacPherson,CC10,CC|DT,2010,,
Marina Bay,NS27,NS|CC|TE,1989,,
Marina South Pier,NS28,NS,2014,,
Marine Parade,TE26,TE,2024,,
Marine Terrace,TE27,TE,2024,,
Marsiling,NS8,NS,1996,,
Marymount,CC16,CC,2009,,
Mattar,DT25,DT,2017,,
Maxwell,TE18,TE,2022,,
Mayflower,TE6,TE,2021,,
Mountbatten,CC7,CC,2010,,
Napier,TE12,TE,2022,,
Newton,NS21,NS|DT,1987,,
Nicoll Highway,CC5,CC,2010,,
Novena,NS20,NS,1987,,
one-north,CC23,CC,2011,,
Orchard,NS22,NS|TE,1987,,
Orchard Boulevard,TE13,TE,2022,,
Outram Park,EW16,EW|NE|TE,1987,,
Pasir Panjang,CC26,CC,2011,,
Pasir Ris,EW1,EW|CR,1989,,
Paya Lebar,EW8,EW|CC,1989,,
Pioneer,EW28,EW,2009,,
Potong Pasir,NE10,NE,2003,,
Promenade,CC4,CC|DT,2010,,
Punggol,NE17,NE|CR,2003,,
Punggol Coast,NE18,NE,2024,,
Queenstown,EW19,EW,1988,,
Raffles Place,EW14,NS|EW,1987,,
Redhill,EW18,EW,1988,,
Rochor,DT13,DT,2015,,
Sembawang,NS11,NS,1996,,
Sengkang,NE16,NE,2003,,
Serangoon,NE12,NE|CC,2003,,
Shenton Way,TE19,TE,2022,,
Siglap,TE28,TE,2024,,
Simei,EW3,EW,1989,,
Sixth Avenue,DT7,DT,2015,,
Somerset,NS23,NS,1987,,
Springleaf,TE4,TE,2021,,
Stadium,CC6,CC,2010,,
