name,type,education_tag,address,postal_code,phone,email,website,zone,school_active,is_enrolling,latitude,longitude
MOE Kindergarten @ Alexandra,preschool,MOE Kindergarten,2A Prince Charles Crescent,159016,6248 5400,mk_alexandra@moe.edu.sg,https://www.alexandrapri.moe.edu.sg/mk-at-alexandra/center-heads-message/,Bukit Merah,True,True,,
MOE Kindergarten @ Anchor Green,preschool,MOE Kindergarten,31 Anchorvale Drive,544969,6886 1356,mk_anchorgreen@moe.edu.sg,https://anchorgreenpri.moe.edu.sg/mk-at-anchor-green/about-mk,Sengkang,True,True,,
MOE Kindergarten @ Ang Mo Kio,preschool,MOE Kindergarten,20 Ang Mo Kio Avenue 3,569920,6250 9029,mk_angmokio@moe.edu.sg,https://www.angmokiopri.moe.edu.sg/moe-kindergarten-at-amk/about-us/,Ang Mo Kio,True,True,,
MOE Kindergarten @ Angsana,preschool,MOE Kindergarten,51 Tampines Street 61,528565,6229 6455,mk_angsana@moe.edu.sg,https://www.angsanapri.moe.edu.sg/mk-at-angsana/mk-at-angsana/,Tampines,True,True,,
MOE Kindergarten @ Bendemeer,preschool,MOE Kindergarten,91 Bendemeer Road,339948,6298 2911,mk_bendemeer@moe.edu.sg,https://www.bendemeerpri.moe.edu.sg/mk-at-bendemeer/about-mk-at-bendemeer/,Kallang,True,True,,
MOE Kindergarten @ Bukit View,preschool,MOE Kindergarten,101 Bukit Batok West Avenue 8,659778,6872 2220,,,Bukit Batok,True,False,,
MOE Kindergarten @ Casuarina,preschool,MOE Kindergarten,30 Pasir Ris Street 41,518935,6583 7132,mk_casuarina@moe.edu.sg,https://www.casuarinapri.moe.edu.sg/moe-kindergarten-casuarina/announcement/,Pasir Ris,True,True,,
MOE Kindergarten @ Cedar,preschool,MOE Kindergarten,15 Cedar Avenue,349700,6288 5633,mk_cedar@moe.edu.sg,https://cedarpri.moe.edu.sg/mk-at-cedar/about-us,Toa Payoh,True,True,,
MOE Kindergarten @ Damai,preschool,MOE Kindergarten,To Be Located in Tampines North. Address Will Be Released At A Later Date.,None,6872 2220,,,Tampines North,True,False,,
MOE Kindergarten @ Dazhong,preschool,MOE Kindergarten,35 Bukit Batok Street 31,659441,6896 0738,mk_dazhong@moe.edu.sg,https://www.dazhongpri.moe.edu.sg/mk-dazhong/mk-dazhong/mk-welcome/,Bukit Batok,True,True,,
